sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_463,0.435,0.435,0.435
FAVITES_output_logSI_contemp_T200_N100_E1_464,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_465,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_467,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_469,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_470,0.444,0.444,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_471,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_472,0.312,0.312,0.312
FAVITES_output_logSI_contemp_T200_N100_E1_473,0.409,0.409,0.409
FAVITES_output_logSI_contemp_T200_N100_E1_475,0.300,0.300,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_476,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_480,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_483,0.150,0.150,0.150
FAVITES_output_logSI_contemp_T200_N100_E1_484,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_485,0.353,0.353,0.353
FAVITES_output_logSI_contemp_T200_N100_E1_488,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_489,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_490,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_492,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_494,0.111,0.111,0.111
FAVITES_output_logSI_contemp_T200_N100_E1_495,0.217,0.217,0.217
FAVITES_output_logSI_contemp_T200_N100_E1_496,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_497,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_498,0.130,0.130,0.130
FAVITES_output_logSI_contemp_T200_N100_E1_500,0.077,0.077,0.077
